user_id,registration_date,first_touch_channel,first_touch_campaign_id,user_type,user_role,company_name,company_industry,company_size_category,supplier_capabilities_text,country,region,total_rfq_value_submitted_buyer,total_deals_won_value_supplier,ltv_actual_or_predicted,is_paying_customer,churn_date,user_feedback_text,mock_sentiment_score,gemini_sentiment_analysis,gemini_feedback_keywords,gemini_supplier_capability_summary
USER00001,2023-01-17,Referral Partner Site,CAMP0005,Supplier,Sales Rep,Nelson-Luna Corp,Automotive,Startup (1-10),"Impressão 3D (FDM, SLA); Prototipagem",India,California,0.0,13977.42,6840.28,True,,Recomendo! Office television situation either.,0.56,"```json
{
  ""sentiment"": ""Positive"",
  ""key_word"": [""Recommend"", ""Office television"", ""situation""]
}
```",,"```json
{
  ""resumo_capacidades"": ""The vendor offers 3D printing services (FDM and SLA) and prototyping capabilities."",
  ""categorias_principais"": [""3D Printing"", ""Prototyping"", ""Additive Manufacturing""]
}
```"
USER00002,2024-10-04,SEO,,Buyer,R&D Specialist,"Proctor, Jones and Thomas",Energy,Mid-Market (51-500),,Canada,Wisconsin,2952.33,0.0,2594.56,True,,,,,,
USER00003,2023-03-08,Referral Partner Site,CAMP0005,Buyer,Operations Manager,Jones-Lowery,Aerospace & Defense,Large Enterprise (501-2000),,Germany,Tennessee,0.0,0.0,0.0,False,,,,,,
USER00004,2023-12-21,Referral Partner Site,CAMP0033,Buyer,Engineer,"Rocha, Williams and Wood",General Manufacturing,Startup (1-10),,Canada,Nevada,0.0,0.0,0.0,False,,,,,,
USER00005,2024-10-15,LinkedIn Ads,,Supplier,Business Owner,"Davis, Bennett and Dennis Industries",Construction Equipment,Startup (1-10),Injeção Plástica; Ferramentaria,Germany,,0.0,0.0,0.0,False,,,,,,"```json
{
  ""resumo_capacidades"": ""The vendor offers plastic injection molding and tooling services."",
  ""categorias_principais"": [""Plastic Injection Molding"", ""Tooling"", ""Manufacturing""]
}
```"
USER00006,2022-04-08,SEO,CAMP0037,Prospect,,,,,,Mexico,Colorado,0.0,0.0,0.0,False,,,,,,
USER00007,2022-06-27,Direct,,Buyer,Engineer,"King, Johnson and Turner",Aerospace & Defense,Startup (1-10),,USA,Maine,0.0,0.0,0.0,False,,,,,,
USER00008,2022-05-06,Referral Partner Site,CAMP0006,Prospect,,,,,,Germany,Delaware,0.0,0.0,0.0,False,,Difícil. Concern mouth challenge player major act southern one hospital.,0.12,"```json
{
  ""sentiment"": ""Negative"",
  ""key_word"": [""Difficult"", ""Mouth challenge"", ""Major act""]
}
```",,
USER00009,2025-03-14,Referral Partner Site,CAMP0006,Prospect,,,,,,Germany,,0.0,0.0,0.0,False,,,,,,
USER00010,2023-10-27,Webinar Platform,CAMP0018,Buyer,Designer,"Reese, Aguilar and Williams",General Manufacturing,Mid-Market (51-500),,Mexico,Florida,9752.12,0.0,8049.05,True,,Ótimo! Go agreement most product.,0.89,"```json
{
  ""sentiment"": ""Positive"",
  ""key_word"": [""Great"", ""agreement"", ""product""]
}
```",,
USER00011,2023-09-02,Google Display Network,CAMP0010,Buyer,Engineer,Harrison Ltd,Energy,Large Enterprise (501-2000),,Canada,Minnesota,0.0,0.0,0.0,False,,,,,,
USER00012,2024-10-28,Google Display Network,CAMP0032,Prospect,,,,,,India,Washington,0.0,0.0,0.0,False,,,,,,
USER00013,2024-06-26,LinkedIn Ads,CAMP0043,Buyer,Engineer,Davis Ltd,Medical Devices,Corporate (2000+),,Germany,,0.0,0.0,0.0,False,,,,,,
USER00014,2023-10-01,Referral Partner Site,CAMP0025,Prospect,,,,,,Canada,,0.0,0.0,0.0,False,,,,,,
USER00015,2022-07-23,Google Ads,CAMP0031,Prospect,,,,,,China,,0.0,0.0,0.0,False,,,,,,
USER00016,2023-11-30,LinkedIn Ads,CAMP0019,Buyer,R&D Specialist,Gonzalez Ltd,Electronics,Startup (1-10),,Canada,Hawaii,0.0,0.0,0.0,False,,Rápido! Report talk all rather power tell all woman air.,0.56,"```json
{
  ""sentiment"": ""Negative"",
  ""key_word"": [""fast"", ""power"", ""woman's air""]
}
```",,
