user_id,registration_date,first_touch_channel,first_touch_campaign_id,user_type,user_role,company_name,company_industry,company_size_category,country,supplier_capabilities_text,user_feedback_text,total_rfq_value_submitted_buyer,total_deals_won_value_supplier,ltv_actual_or_predicted,is_paying_customer,churn_date
USER00001,2024-01-19,Organic Search,,Buyer,R&D Lead,"Reed, Walker and Smith",Automotive Manufacturing,Enterprise (1000+ emp),USA,,,0.0,0.0,0.0,False,
USER00002,2023-09-05,Display Network,CAMP0049,Prospect,,,,,Mexico,,Easy to navigate and find what I need.,0.0,0.0,0.0,False,
USER00003,2024-01-23,Organic Search,,Buyer,Design Engineer,"Peterson, Huerta and Forbes",Construction Equipment,Enterprise (1000+ emp),Australia,,,2861.64,0.0,3423.94,True,
USER00004,2024-08-09,Webinar Platform,CAMP0029,Supplier,Sales Director,Clark Ltd,Electronics & Semiconductors,Small Business (11-50 emp),Mexico,Metal Stamping; Progressive Die; Deep Drawing; Secondary Operations; High Volume Production,,0.0,0.0,0.0,False,
USER00005,2024-09-14,Google Ads,CAMP0014,Buyer,R&D Lead,"Dixon, Hill and Fisher",Renewable Energy,Medium Business (51-200 emp),India,,,0.0,0.0,0.0,False,
USER00006,2024-03-09,Partner Referral,CAMP0023,Buyer,Operations Director,Johnson LLC,Robotics & Automation,Startup (1-10 emp),Australia,,"Resolved my issue promptly, great support.",3404.55,0.0,6485.48,True,
USER00007,2025-03-20,Display Network,CAMP0021,Buyer,Procurement Manager,"Phillips, Young and Martinez",Aerospace & Defense,Small Business (11-50 emp),Canada,,,0.0,0.0,0.0,False,
USER00008,2025-05-03,LinkedIn Ads,CAMP0026,Supplier,Production Head,"Ramirez, Cole and Baker",Automotive Manufacturing,Enterprise (1000+ emp),Canada,"Precision CNC Machining (3, 4 & 5-axis); Turning; Milling; Grinding; ISO 9001 Certified",Excellent service and quick turnaround!,0.0,11285.54,7535.61,True,
USER00009,2023-07-17,Partner Referral,,Supplier,Account Manager,"Galloway, Huff and Solis",Automotive Manufacturing,Enterprise (1000+ emp),Maldives,"Electronic Contract Manufacturing (ECM); PCB Assembly (SMT, PTH); Cable Harnesses; Box Builds; Functional Testing",,0.0,1278.1,2103.07,True,2023-08-13
USER00010,2022-09-30,Webinar Platform,CAMP0012,Supplier,Sales Director,Stokes Group,Aerospace & Defense,Enterprise (1000+ emp),India,"Custom Gear Manufacturing; Spur, Helical, Bevel Gears; Heat Treatment; Gear Hobbing & Shaping",,0.0,15616.77,11720.92,True,
USER00011,2022-07-17,Display Network,CAMP0021,Supplier,Account Manager,Guzman-Castro,Medical Devices,Enterprise (1000+ emp),Mexico,"Sheet Metal Fabrication; Laser Cutting; Turret Punching; Press Brake Forming; Welding (TIG, MIG); Powder Coating",,0.0,0.0,0.0,False,
USER00012,2022-01-05,Partner Referral,,Buyer,Operations Director,Scott PLC,General Industrial,Small Business (11-50 emp),Jamaica,,,0.0,0.0,0.0,False,
USER00013,2022-02-03,Partner Referral,CAMP0040,Prospect,,,,,India,,Top-notch experience overall.,0.0,0.0,0.0,False,
USER00014,2023-08-19,Organic Search,,Prospect,,,,,United Kingdom,,Excellent service and quick turnaround!,0.0,0.0,0.0,False,
USER00015,2022-10-19,Organic Search,,Buyer,R&D Lead,"Shannon, Montoya and Kelly",Construction Equipment,Medium Business (51-200 emp),Canada,,No major issues encountered during use.,3413.7,0.0,6516.24,True,
USER00016,2022-05-19,Partner Referral,CAMP0023,Buyer,Procurement Manager,"Flores, Morrow and Weiss",Electronics & Semiconductors,Enterprise (1000+ emp),Mexico,,The platform is very user-friendly and efficient.,0.0,0.0,0.0,False,
USER00017,2024-09-29,Google Ads,,Buyer,Procurement Manager,"Turner, Macias and Smith",Construction Equipment,Small Business (11-50 emp),Mexico,,The user interface is a bit clunky and hard to navigate.,0.0,0.0,0.0,False,
USER00018,2022-09-23,Webinar Platform,CAMP0024,Prospect,,,,,Mexico,,Loved the quality of suppliers I found.,0.0,0.0,0.0,False,
USER00019,2023-11-23,Display Network,CAMP0021,Prospect,,,,,Canada,,The RFQ process was smooth and effective.,0.0,0.0,0.0,False,
USER00020,2023-12-29,Partner Referral,,Buyer,Design Engineer,Brooks and Sons,Automotive Manufacturing,Medium Business (51-200 emp),United Kingdom,,,0.0,0.0,0.0,False,
USER00021,2023-06-26,Email Drip,CAMP0030,Supplier,Business Owner,Contreras PLC,Robotics & Automation,Large Company (201-1000 emp),Mexico,"Precision CNC Machining (3, 4 & 5-axis); Turning; Milling; Grinding; ISO 9001 Certified",,0.0,0.0,0.0,False,
