campaign_id,campaign_name,campaign_start_date,campaign_end_date,campaign_objective,campaign_type,channel_source_primary,campaign_budget,campaign_spend,target_audience_segment
CAMP0001,Display Advertising 2024 Bravo,2024-05-10,2025-06-14,User Engagement,Display Advertising,Display Network,20187.25,14354.35,Construction Equipment - Enterprise
CAMP0002,Paid Social 2024 Alpha,2024-08-16,2025-01-12,User Engagement,Paid Social,LinkedIn Ads,1540.32,1280.34,General Industrial - Large Company
CAMP0003,Email Marketing 2023 Delta,2023-06-10,,Lead Generation,Email Marketing,Email Drip,23962.22,20477.83,Automotive Manufacturing - Enterprise
CAMP0004,Paid Search 2024 Charlie,2024-07-05,2025-08-29,Supplier Acquisition,Paid Search,Google Ads,7409.87,4282.28,Electronics & Semiconductors - Startup
CAMP0005,Industry Partnership 2023 Charlie,2023-05-07,2023-10-07,User Engagement,Industry Partnership,Partner Referral,2628.78,2522.37,Robotics & Automation - Startup
CAMP0006,Email Marketing 2024 Delta,2024-09-27,2025-07-10,Brand Awareness,Email Marketing,Email Drip,10452.44,7038.65,General Industrial - Startup
CAMP0007,Paid Social 2022 Alpha,2022-10-18,2024-03-24,Brand Awareness,Paid Social,LinkedIn Ads,15771.23,15388.75,Medical Devices - Large Company
CAMP0008,Display Advertising 2024 Delta,2024-01-19,2024-12-09,Supplier Acquisition,Display Advertising,Display Network,17759.93,16738.14,General Industrial - Enterprise
CAMP0009,Email Marketing 2023 Alpha,2023-10-15,2024-05-01,Supplier Acquisition,Email Marketing,Email Drip,12254.36,10394.9,Aerospace & Defense - Startup
CAMP0010,Paid Search 2023 Bravo,2023-06-04,2025-07-05,Sales Conversion,Paid Search,Google Ads,24246.35,17045.04,Electronics & Semiconductors - Medium Business
CAMP0011,Paid Social 2024 Bravo,2024-04-05,2024-07-18,User Engagement,Paid Social,LinkedIn Ads,9384.59,8600.85,Aerospace & Defense - Medium Business
CAMP0012,Webinar Series 2025 Charlie,2025-03-30,2025-08-19,Supplier Acquisition,Webinar Series,Webinar Platform,1623.01,613.44,Robotics & Automation - Startup
CAMP0013,Display Advertising 2023 Alpha,2023-08-21,,Brand Awareness,Display Advertising,Display Network,7789.36,6575.12,General Industrial - Enterprise
CAMP0014,Paid Search 2023 Charlie,2023-07-16,,User Engagement,Paid Search,Google Ads,21830.45,13741.2,Medical Devices - Enterprise
CAMP0015,Content Marketing 2022 Delta,2022-11-13,2023-03-29,Lead Generation,Content Marketing,SEO Blog,18241.21,17857.22,Medical Devices - Large Company
CAMP0016,Display Advertising 2022 Delta,2022-09-26,2025-07-11,Brand Awareness,Display Advertising,Display Network,2212.46,1617.08,Electronics & Semiconductors - Medium Business
CAMP0017,Display Advertising 2022 Alpha,2022-09-06,2024-01-24,Lead Generation,Display Advertising,Display Network,4865.7,4642.41,Automotive Manufacturing - Small Business
CAMP0018,Display Advertising 2022 Alpha,2022-08-06,2023-10-20,User Engagement,Display Advertising,Display Network,14428.72,12844.82,Aerospace & Defense - Startup
CAMP0019,Email Marketing 2022 Delta,2022-12-04,2024-04-09,Supplier Acquisition,Email Marketing,Email Drip,10040.16,8135.03,Renewable Energy - Enterprise
CAMP0020,Email Marketing 2023 Bravo,2023-02-09,2024-10-02,Lead Generation,Email Marketing,Email Drip,1442.03,1345.94,Medical Devices - Enterprise
CAMP0021,Display Advertising 2022 Alpha,2022-07-20,2023-07-17,Brand Awareness,Display Advertising,Display Network,4652.13,4059.05,Robotics & Automation - Startup
CAMP0022,Content Marketing 2024 Charlie,2024-08-02,2025-07-11,User Engagement,Content Marketing,SEO Blog,16714.32,11687.14,Aerospace & Defense - Startup
CAMP0023,Industry Partnership 2023 Delta,2023-02-04,2024-10-27,Supplier Acquisition,Industry Partnership,Partner Referral,21828.42,20680.37,Automotive Manufacturing - Medium Business
CAMP0024,Webinar Series 2024 Charlie,2024-02-21,2024-11-14,Supplier Acquisition,Webinar Series,Webinar Platform,15874.22,12900.8,Renewable Energy - Medium Business
CAMP0025,Content Marketing 2023 Alpha,2023-09-05,2025-05-06,Supplier Acquisition,Content Marketing,SEO Blog,1016.48,933.98,Medical Devices - Enterprise
CAMP0026,Paid Social 2025 Bravo,2025-01-24,,Sales Conversion,Paid Social,LinkedIn Ads,12054.04,8102.32,Electronics & Semiconductors - Medium Business
CAMP0027,Paid Social 2024 Delta,2024-05-28,,User Engagement,Paid Social,LinkedIn Ads,15281.29,11660.74,Renewable Energy - Startup
CAMP0028,Paid Social 2022 Alpha,2022-12-24,2025-02-09,User Engagement,Paid Social,LinkedIn Ads,14395.69,13244.91,Aerospace & Defense - Enterprise
CAMP0029,Webinar Series 2023 Delta,2023-12-12,2024-05-29,Brand Awareness,Webinar Series,Webinar Platform,23605.48,19113.82,Robotics & Automation - Enterprise
CAMP0030,Email Marketing 2023 Bravo,2023-09-23,,User Engagement,Email Marketing,Email Drip,2651.98,2034.46,Construction Equipment - Medium Business
CAMP0031,Content Marketing 2023 Alpha,2023-06-08,2024-02-14,Sales Conversion,Content Marketing,SEO Blog,16874.87,13719.99,Medical Devices - Small Business
CAMP0032,Content Marketing 2024 Alpha,2024-10-31,2025-08-18,Supplier Acquisition,Content Marketing,SEO Blog,12997.82,8055.48,Robotics & Automation - Medium Business
CAMP0033,Content Marketing 2024 Bravo,2024-09-01,2025-04-09,Lead Generation,Content Marketing,SEO Blog,18597.24,17700.82,Construction Equipment - Enterprise
CAMP0034,Webinar Series 2025 Delta,2025-04-29,2025-08-01,Brand Awareness,Webinar Series,Webinar Platform,16977.06,4674.68,Renewable Energy - Enterprise
CAMP0035,Webinar Series 2023 Bravo,2023-11-20,2025-03-24,User Engagement,Webinar Series,Webinar Platform,10872.76,10350.84,Electronics & Semiconductors - Startup
CAMP0036,Industry Partnership 2022 Bravo,2022-02-28,2023-08-24,User Engagement,Industry Partnership,Partner Referral,15134.1,13398.36,General Industrial - Startup
CAMP0037,Content Marketing 2022 Charlie,2022-11-11,2025-05-01,User Engagement,Content Marketing,SEO Blog,17149.37,15482.67,Robotics & Automation - Small Business
CAMP0038,Webinar Series 2023 Alpha,2023-12-08,2024-09-17,User Engagement,Webinar Series,Webinar Platform,23326.3,21373.97,Construction Equipment - Medium Business
CAMP0039,Webinar Series 2024 Bravo,2024-01-10,2025-04-04,Supplier Acquisition,Webinar Series,Webinar Platform,6526.51,6190.1,Renewable Energy - Large Company
CAMP0040,Industry Partnership 2022 Charlie,2022-01-01,2022-05-14,Sales Conversion,Industry Partnership,Partner Referral,16462.25,15661.19,Automotive Manufacturing - Medium Business
CAMP0041,Paid Search 2022 Delta,2022-11-07,2025-03-13,User Engagement,Paid Search,Google Ads,10278.14,10099.29,Construction Equipment - Small Business
CAMP0042,Email Marketing 2023 Bravo,2023-02-13,2025-08-10,Lead Generation,Email Marketing,Email Drip,24456.0,16842.71,Construction Equipment - Large Company
CAMP0043,Webinar Series 2024 Delta,2024-02-20,2024-09-29,Brand Awareness,Webinar Series,Webinar Platform,8828.63,7561.71,Aerospace & Defense - Large Company
