Date,Commodity,Price
2020-06-01,Steel_Futures_HRC,515.0
2020-06-02,Steel_Futures_HRC,513.0
2020-06-03,Steel_Futures_HRC,510.0
2020-06-04,Steel_Futures_HRC,517.0
2020-06-05,Steel_Futures_HRC,517.0
2020-06-08,Steel_Futures_HRC,515.0
2020-06-09,Steel_Futures_HRC,518.0
2020-06-10,Steel_Futures_HRC,512.0
2020-06-11,Steel_Futures_HRC,510.0
2020-06-12,Steel_Futures_HRC,511.0
2020-06-15,Steel_Futures_HRC,511.0
2020-06-16,Steel_Futures_HRC,513.0
2020-06-17,Steel_Futures_HRC,503.0
2020-06-18,Steel_Futures_HRC,500.0
2020-06-19,Steel_Futures_HRC,501.0
2020-06-22,Steel_Futures_HRC,499.0
2020-06-23,Steel_Futures_HRC,500.0
2020-06-24,Steel_Futures_HRC,495.0
2020-06-25,Steel_Futures_HRC,495.0
2020-06-26,Steel_Futures_HRC,492.0
2020-06-29,Steel_Futures_HRC,489.0
2020-06-30,Steel_Futures_HRC,488.0
2020-07-01,Steel_Futures_HRC,491.0
2020-07-02,Steel_Futures_HRC,490.0
2020-07-06,Steel_Futures_HRC,491.0
2020-07-07,Steel_Futures_HRC,485.0
2020-07-08,Steel_Futures_HRC,481.0
2020-07-09,Steel_Futures_HRC,481.0
2020-07-10,Steel_Futures_HRC,481.0
2020-07-13,Steel_Futures_HRC,481.0
2020-07-14,Steel_Futures_HRC,481.0
2020-07-15,Steel_Futures_HRC,476.0
2020-07-16,Steel_Futures_HRC,475.0
2020-07-17,Steel_Futures_HRC,475.0
2020-07-20,Steel_Futures_HRC,480.0
2020-07-21,Steel_Futures_HRC,475.0
2020-07-22,Steel_Futures_HRC,475.0
2020-07-23,Steel_Futures_HRC,475.0
2020-07-24,Steel_Futures_HRC,475.0
2020-07-27,Steel_Futures_HRC,475.0
2020-07-28,Steel_Futures_HRC,487.0
2020-07-29,Steel_Futures_HRC,482.0
2020-07-30,Steel_Futures_HRC,478.0
2020-07-31,Steel_Futures_HRC,482.0
2020-08-03,Steel_Futures_HRC,483.0
2020-08-04,Steel_Futures_HRC,474.0
2020-08-05,Steel_Futures_HRC,469.0
2020-08-06,Steel_Futures_HRC,467.0
2020-08-07,Steel_Futures_HRC,467.0
2020-08-10,Steel_Futures_HRC,467.0
2020-08-11,Steel_Futures_HRC,465.0
2020-08-12,Steel_Futures_HRC,453.0
2020-08-13,Steel_Futures_HRC,451.0
2020-08-14,Steel_Futures_HRC,452.0
2020-08-17,Steel_Futures_HRC,452.0
2020-08-18,Steel_Futures_HRC,452.0
2020-08-19,Steel_Futures_HRC,448.0
2020-08-20,Steel_Futures_HRC,447.0
2020-08-21,Steel_Futures_HRC,449.0
2020-08-24,Steel_Futures_HRC,447.0
2020-08-25,Steel_Futures_HRC,447.0
2020-08-26,Steel_Futures_HRC,508.0
2020-08-27,Steel_Futures_HRC,517.0
2020-08-28,Steel_Futures_HRC,518.0
2020-08-31,Steel_Futures_HRC,518.0
2020-09-01,Steel_Futures_HRC,523.0
2020-09-02,Steel_Futures_HRC,527.0
2020-09-03,Steel_Futures_HRC,527.0
2020-09-04,Steel_Futures_HRC,532.0
2020-09-08,Steel_Futures_HRC,532.0
2020-09-09,Steel_Futures_HRC,535.0
2020-09-10,Steel_Futures_HRC,536.0
2020-09-11,Steel_Futures_HRC,538.0
2020-09-14,Steel_Futures_HRC,540.0
2020-09-15,Steel_Futures_HRC,540.0
2020-09-16,Steel_Futures_HRC,547.0
2020-09-17,Steel_Futures_HRC,548.0
2020-09-18,Steel_Futures_HRC,549.0
2020-09-21,Steel_Futures_HRC,549.0
2020-09-22,Steel_Futures_HRC,551.0
2020-09-23,Steel_Futures_HRC,546.0
2020-09-24,Steel_Futures_HRC,548.0
2020-09-25,Steel_Futures_HRC,550.0
2020-09-28,Steel_Futures_HRC,550.0
2020-09-29,Steel_Futures_HRC,550.0
2020-09-30,Steel_Futures_HRC,615.0
2020-10-01,Steel_Futures_HRC,624.0
2020-10-02,Steel_Futures_HRC,626.0
2020-10-05,Steel_Futures_HRC,626.0
2020-10-06,Steel_Futures_HRC,631.0
2020-10-07,Steel_Futures_HRC,625.0
2020-10-08,Steel_Futures_HRC,630.0
2020-10-09,Steel_Futures_HRC,633.0
2020-10-12,Steel_Futures_HRC,636.0
2020-10-13,Steel_Futures_HRC,639.0
2020-10-14,Steel_Futures_HRC,637.0
2020-10-15,Steel_Futures_HRC,639.0
2020-10-16,Steel_Futures_HRC,639.0
2020-10-19,Steel_Futures_HRC,640.0
2020-10-20,Steel_Futures_HRC,640.0
2020-10-21,Steel_Futures_HRC,637.0
2020-10-22,Steel_Futures_HRC,645.0
2020-10-23,Steel_Futures_HRC,645.0
2020-10-26,Steel_Futures_HRC,645.0
2020-10-27,Steel_Futures_HRC,645.0
2020-10-28,Steel_Futures_HRC,698.0
2020-10-29,Steel_Futures_HRC,700.0
2020-10-30,Steel_Futures_HRC,699.0
2020-11-02,Steel_Futures_HRC,699.0
2020-11-03,Steel_Futures_HRC,702.0
2020-11-04,Steel_Futures_HRC,705.0
2020-11-05,Steel_Futures_HRC,706.0
2020-11-06,Steel_Futures_HRC,711.0
2020-11-09,Steel_Futures_HRC,717.0
2020-11-10,Steel_Futures_HRC,714.0
2020-11-11,Steel_Futures_HRC,715.0
2020-11-12,Steel_Futures_HRC,715.0
2020-11-13,Steel_Futures_HRC,716.0
